City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
Delhi,2015-01-01,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,325.8,Very Poor
Mumbai,2015-01-01,70.5,312.7,195.0,42.0,122.5,31.5,7.22,83.8,108.0,262.7,Poor
Chennai,2015-01-01,174.1,275.4,56.2,68.8,230.9,28.5,8.56,60.8,43.9,341.8,Very Poor
Kolkata,2015-01-01,477.2,543.9,14.1,76.4,225.9,45.6,2.41,42.1,171.1,206.3,Poor
Bangalore,2015-01-01,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor
Delhi,2015-01-02,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,494.2,Severe
Mumbai,2015-01-02,59.2,335.7,182.1,143.8,207.3,44.8,5.81,6.4,145.5,285.7,Poor
Chennai,2015-01-02,418.9,573.8,23.8,17.5,43.0,22.5,4.49,9.5,198.7,276.4,Poor
Kolkata,2015-01-02,329.8,599.3,139.1,34.0,75.2,24.1,3.63,63.4,111.2,479.8,Severe
Bangalore,2015-01-02,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,267.5,Poor
Delhi,2015-01-03,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,122.7,Moderate
Mumbai,2015-01-03,191.0,200.5,21.5,141.3,235.8,8.6,8.54,89.0,129.8,354.7,Very Poor
Chennai,2015-01-03,86.6,531.8,99.1,92.8,62.4,49.8,1.12,9.9,45.5,188.4,Moderate
Kolkata,2015-01-03,393.0,422.5,28.9,112.1,149.9,40.6,5.72,3.7,60.8,390.6,Very Poor
Bangalore,2015-01-03,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,419.3,Severe
Delhi,2015-01-04,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,381.0,Very Poor
Mumbai,2015-01-04,177.3,30.8,164.9,149.3,83.5,37.4,8.63,30.7,75.7,344.2,Very Poor
Chennai,2015-01-04,417.0,361.9,118.5,145.1,120.8,28.9,6.22,11.4,14.4,314.7,Very Poor
Kolkata,2015-01-04,392.0,70.4,33.6,127.9,11.8,6.7,5.02,51.4,105.6,147.9,Moderate
Bangalore,2015-01-04,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor
Delhi,2015-01-05,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,462.8,Severe
Mumbai,2015-01-05,335.4,582.7,144.2,37.2,130.3,22.9,6.83,91.6,30.9,485.4,Severe
Chennai,2015-01-05,123.3,126.0,137.4,140.7,214.5,20.8,9.55,68.7,166.5,302.8,Very Poor
Kolkata,2015-01-05,298.2,515.0,86.7,101.8,156.6,35.3,4.17,19.4,197.7,448.2,Severe
Bangalore,2015-01-05,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,413.8,Severe
Delhi,2015-01-06,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,222.6,Poor
Mumbai,2015-01-06,162.6,202.8,35.6,49.4,58.0,9.5,9.6,23.7,60.1,332.9,Very Poor
Chennai,2015-01-06,179.9,275.3,136.4,13.9,118.3,21.8,7.44,98.0,148.0,346.2,Very Poor
Kolkata,2015-01-06,191.5,560.1,176.3,4.5,115.4,49.0,8.89,23.2,35.5,355.1,Very Poor
Bangalore,2015-01-06,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate
Delhi,2015-01-07,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,432.3,Severe
Mumbai,2015-01-07,485.1,549.4,175.2,40.5,201.8,39.2,7.54,10.6,52.5,169.2,Moderate
Chennai,2015-01-07,325.4,129.0,184.1,57.5,111.3,32.9,3.27,44.9,173.7,475.4,Severe
Kolkata,2015-01-07,121.4,120.8,153.5,10.4,222.7,40.1,4.96,28.8,51.1,301.3,Very Poor
Bangalore,2015-01-07,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor
Delhi,2015-01-08,315.2,354.9,161.9,45.6,152.4,37.1,6.81,84.6,28.8,465.2,Severe
Mumbai,2015-01-08,97.0,302.5,14.6,148.8,105.5,43.7,1.8,32.9,141.4,252.5,Poor
Chennai,2015-01-08,421.0,328.6,174.3,45.5,227.8,30.8,6.97,80.4,145.8,278.6,Poor
Kolkata,2015-01-08,308.5,199.9,45.4,144.2,156.1,49.7,0.34,40.8,197.1,458.5,Severe
Bangalore,2015-01-08,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,192.0,Moderate
Delhi,2015-01-09,226.8,103.0,72.6,100.6,32.9,23.4,9.29,56.6,118.8,382.2,Very Poor
Mumbai,2015-01-09,232.9,102.6,44.8,113.4,233.2,7.9,9.66,8.7,82.5,386.9,Very Poor
Chennai,2015-01-09,74.0,295.4,98.2,105.5,165.2,48.7,2.18,95.6,51.9,245.4,Poor
Kolkata,2015-01-09,172.4,142.6,142.3,71.3,111.4,26.7,1.27,11.2,86.7,340.4,Very Poor
Bangalore,2015-01-09,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor
Delhi,2015-01-10,316.8,209.1,68.0,100.0,30.2,36.8,3.37,11.2,4.4,466.8,Severe
Mumbai,2015-01-10,308.7,415.3,23.9,97.4,51.7,10.6,4.86,29.6,87.9,458.7,Severe
Chennai,2015-01-10,308.1,73.0,26.2,134.3,136.4,42.9,3.5,48.5,113.0,458.1,Severe
